"","routeid","linknummer","richting","snelheid","uur","weekdag"
"1020",694102364,317206,"f",16.5042507943287,14,5
"1021",694102364,81798,"f",14.8288600084535,14,5
"1022",701379402,317495,"f",11.2440951843203,13,5
"1023",701663500,567022,"t",13.3745304711982,15,5
"1024",713618764,1763644,"t",21.0197337729141,15,1
"1025",716599567,317359,"t",5.27849470542543,12,1
"1026",716599567,317495,"f",17.9748407433057,12,1
"1027",717312172,317206,"f",1.74353696043109,15,5
"1028",723512993,83450,"t",17.3491715131525,12,6
"1029",723589593,567022,"t",14.1904619676688,12,6
"1030",725280500,317495,"t",13.4101746761706,12,6
"1031",725680639,567022,"t",14.0414667911721,12,6
"1032",726141838,566922,"f",15.3042142114572,10,6
"1033",730878759,81803,"f",12.1947729996976,12,6
"1034",730878759,317206,"f",10.098486651046,12,6
"1035",730878759,81798,"f",8.25466763488183,12,6
"1036",732341622,1763644,"t",26.7871862598972,16,6
"1037",735651358,2109154,"t",24.1336756631869,17,6
"1038",735651358,1763644,"f",24.1020483914044,17,6
"1039",748243317,566922,"f",22.6900341202102,14,1
"1040",753528768,1774415,"t",27.268506693848,10,0
"1041",753528768,83450,"f",22.5160956246048,10,0
"1042",753528768,317495,"f",19.5813699030678,10,0
"1043",756211260,562947,"f",9.70959663186289,10,0
"1044",756211260,81798,"t",15.4054410428367,10,0
"1045",756211260,317206,"t",9.9036197670558,10,0
"1046",756211260,81803,"t",15.1806817692716,10,0
"1047",756429790,317495,"t",17.8407091109663,13,6
"1048",756429790,317359,"f",12.1681533984783,13,6
"1049",756429790,83450,"t",20.9211984085348,13,6
"1050",772096043,83450,"t",15.8583377837531,14,0
"1051",772096043,1774415,"f",15.364662933912,14,0
"1052",772096043,81803,"f",12.2403297473722,14,0
"1053",772096043,317206,"f",8.27704674072127,14,0
"1054",772096043,81798,"f",13.0119641038153,14,0
"1055",861941715,562947,"f",14.9677717386212,13,5
"1056",861941743,562947,"t",34.1756791752171,13,5
"1057",864580460,562947,"t",30.9435101464118,11,5
"1058",869379820,1774415,"f",15.1900033662727,12,5
"1059",869379820,81803,"f",11.1535813003154,12,5
"1060",869401319,1774415,"f",21.9909275410689,15,4
"1061",869401319,81803,"f",13.271490997586,15,4
"1062",879374684,1774415,"f",15.835417421196,15,5
"1063",921780267,562947,"t",17.8837046222046,13,0
"1064",929628017,2109154,"t",20.5702427313595,16,0
